TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,582,3,3,0,4,0,5,117,27,0,0,0,5,19410,21147,16,2,1,3,3,0.92,0.21,2,3,7,0.21,4,4,0
0,608,2,2,0,1,0,4,101,12,0,1,1,6,4206,4666,8,0,0,3,4,0.9,0.22,3,0,4,0.67,1,2,0.17
0,611,1,1,0,2,1,8,260,16,0,0,2,3,7660,9627,18,1,1,2,3,0.8,0.35,0,1,1,0.15,1,1,0.67
0,643,0,0,0,5,1,6,295,8,0,4,11,40,117110,251082,57,0,0,9,12,0.47,0.73,0,0,0,0.65,0,0,0.28
0,645,0,0,0,0,,0,223,18,0,0,1,6,4449,4982,13,0,0,2,4,0.89,0.57,3,0,5,0.43,0,2,0.17
1,662,15,9,0,3,1,3,14,14,0,0,1,1,16776,20971,1,0,0,1,1,0.8,0,0,0,0,1,12,0,1
0,714,0,0,0,3,2,7,345,2,2,2,4,6,45825,52987,17,0,0,3,3,0.86,0.52,0,0,0,0.29,0,0,0.67
0,750,0,0,0,4,4,5,145,3,1,2,2,8,15396,26018,16,4,1,2,3,0.59,0.41,0,2,7,0.36,2,2,0.25
0,777,0,0,0,3,1,3,222,22,0,0,1,10,3127,12624,24,1,0,1,2,0.25,0.62,2,0,3,0.34,0,1,0.1
1,805,0,0,0,1,5,1,354,7,0,2,10,19,16903,47593,21,1,1,4,5,0.36,0.65,0,1,1,0.73,1,1,0.53
0,911,8,8,0,0,8,2,111,24,0,0,1,2,3402,8948,5,0,0,0,0,0.38,0.4,0,0,0,0.4,4,0,0.5
0,1078,0,0,0,1,1,3,56,40,0,0,0,3,716,2532,5,0,0,0,0,0.28,0.2,3,1,4,0.6,1,3,0
1,1175,8,5,0,6,1,10,16,4,0,2,4,3,18339,20093,1,1,0,2,3,0.91,0.25,1,1,1,0.75,7,1,1.33
0,1181,0,0,0,0,11,0,398,10,0,2,2,10,18103,22163,18,0,0,6,6,0.82,0.25,3,0,2,0.5,0,2,0.2
1,1373,3,1,0,9,0,8,130,52,0,0,0,1,2327,1860,3,4,1,1,1,1.25,0,0,1,4,0.14,3,1,0
0,1419,0,0,0,5,1,5,185,10,0,1,1,14,43929,65197,29,0,0,5,6,0.67,0.69,2,0,1,0.48,0,1,0.07
0,1437,0,0,0,3,1,0,168,2,1,1,2,8,24269,43783,16,0,0,1,5,0.55,0.5,0,0,0,0.44,0,0,0.25
0,1482,0,0,0,3,1,0,284,2,1,3,5,6,16173,32884,18,1,0,3,3,0.49,0.33,0,1,1,0.25,1,1,0.83
0,1498,5,3,0,4,4,2,90,3,1,4,4,5,38892,40752,8,0,0,5,5,0.95,0.56,0,0,0,0.56,1,0,0.8
1,1514,0,0,0,1,3,1,148,10,0,2,6,14,55642,77854,24,0,0,7,9,0.71,0.59,3,0,0,0.52,0,0,0.43
0,1547,0,0,0,0,8,0,32,32,0,0,0,2,2600,2600,1,1,1,1,1,1,0.5,0,1,1,1,1,1,0
0,1549,0,0,0,0,,0,218,27,0,0,0,3,4109,6000,9,0,0,1,1,0.68,0.78,0,0,0,0.33,0,0,0
0,1559,0,0,0,2,1,1,133,19,0,0,2,4,40549,48039,10,0,0,3,3,0.84,0.5,0,0,0,0.4,0,0,0.5
0,1827,2,0,0,5,1,0,128,15,0,0,1,2,6014,9552,12,0,0,1,2,0.63,0.08,2,1,3,0.17,3,2,0.5
0,1864,0,0,0,5,1,3,204,18,0,0,5,15,78544,117116,21,0,0,7,9,0.67,0.5,3,0,1,0.68,0,0,0.33
0,1890,3,2,0,5,1,6,135,3,1,2,4,4,5756,9199,8,0,0,1,1,0.63,0.6,0,0,1,0.4,0,0,1
1,1911,3,2,0,5,1,3,124,2,1,4,6,7,14577,21638,12,0,0,4,4,0.67,0.53,2,0,2,0.47,1,1,0.86
0,1927,0,0,0,6,1,8,62,6,0,2,2,8,9065,13979,13,0,0,2,2,0.65,0.77,0,0,0,0.62,0,0,0.25
0,1954,3,2,0,21,0,24,181,3,1,2,5,8,7623,14864,17,0,0,2,3,0.51,0.5,2,0,1,0.4,2,1,0.63
0,2033,0,0,0,3,5,1,84,2,1,3,5,12,23624,45792,19,0,0,4,5,0.52,0.75,0,0,0,0.6,0,0,0.42
0,2078,3,0,0,5,1,7,116,14,0,0,1,4,187,1113,9,3,3,0,0,0.17,0.5,0,3,7,0.33,3,3,0.25
0,2102,0,0,0,0,15,0,138,27,0,0,0,8,15,7770,16,3,1,0,0,0,0.27,3,5,8,0.36,5,8,0
0,2137,2,2,0,5,1,5,83,1,1,1,2,2,986,1256,3,1,0,1,2,0.79,0.33,0,0,1,0.33,2,0,1
0,2147,0,0,0,0,,0,51,8,0,2,2,11,22245,43039,15,0,0,6,7,0.52,0.88,0,0,0,0.69,0,0,0.18
0,2156,0,0,0,3,1,1,314,14,0,0,3,3,7582,17098,7,1,0,0,0,0.44,0.3,2,0,1,0.3,0,1,1
0,2176,0,0,0,2,2,4,20,5,0,2,3,2,863,1000,2,0,0,2,2,0.86,0.67,0,0,0,0.67,0,0,1.5
0,2201,1,1,0,1,2,3,82,6,0,1,1,3,2979,2979,3,1,1,1,1,1,0.5,0,1,2,0.75,2,1,0.33
0,2304,0,0,0,1,6,3,414,4,0,1,2,13,28100,59928,22,0,0,7,8,0.47,0.65,2,0,4,0.57,0,1,0.15
0,2405,0,0,0,4,1,1,375,6,0,2,7,11,30102,32257,12,0,0,8,8,0.93,0.85,0,0,0,0.85,0,0,0.64
0,2456,0,0,0,2,1,3,330,4,0,1,4,21,60393,100435,42,0,0,7,13,0.6,0.56,2,0,1,0.44,0,1,0.19
0,2485,0,0,0,2,1,7,129,6,0,3,7,11,32933,44135,22,0,0,4,6,0.75,0.83,0,0,1,0.48,0,0,0.64
0,2491,0,0,0,0,8,0,13,13,0,0,1,1,913,924,1,0,0,1,1,0.99,1,0,0,0,1,0,0,1
0,2534,0,0,0,2,1,1,103,4,0,5,6,6,27102,32985,8,0,0,4,4,0.82,0.88,0,0,0,0.75,0,0,1
1,2596,1,1,0,2,0,3,286,6,0,2,6,6,26853,33562,5,6,2,3,4,0.8,0.15,1,5,6,0.46,5,5,1
0,2615,0,0,0,2,0,1,290,3,1,1,2,5,5307,25626,5,0,0,1,1,0.21,0.67,0,0,0,0.83,0,0,0.4
0,2647,0,0,0,0,7,1,201,13,0,0,6,7,44456,49825,16,0,0,5,5,0.89,0.69,0,0,0,0.44,0,0,0.86
0,2678,0,0,0,4,1,0,188,17,0,0,3,14,30021,46475,19,1,1,6,8,0.65,0.63,0,1,1,0.58,1,1,0.21
0,2687,0,0,0,4,1,6,100,4,0,2,4,5,2524,2997,9,0,0,2,3,0.84,0.6,0,0,0,0.5,0,0,0.8
1,2767,0,0,0,0,15,0,175,25,0,0,0,10,36424,61036,17,1,0,4,5,0.6,0.61,1,0,1,0.56,0,0,0
0,2782,0,0,0,0,8,2,98,11,0,1,2,7,3814,6431,13,1,0,3,5,0.59,0.64,0,0,1,0.5,0,0,0.29
0,2799,1,1,0,0,17,0,85,2,1,1,1,3,587,1102,3,3,1,1,1,0.53,0.13,0,2,5,0.38,2,2,0.33
0,2828,1,0,0,1,1,0,169,1,1,1,2,10,14690,46727,14,0,0,0,1,0.31,0.5,3,0,3,0.63,0,2,0.2
1,2875,2,2,0,5,0,6,177,8,0,1,7,9,56432,75953,19,1,1,4,7,0.74,0.38,3,1,2,0.43,2,2,0.78
1,2884,8,7,0,0,23,1,129,16,0,0,2,3,8526,9602,1,2,2,3,3,0.89,0,0,2,2,0.75,9,2,0.67
0,2885,0,0,0,2,3,0,205,4,0,3,3,13,57088,69893,21,0,0,7,11,0.82,0.68,0,0,1,0.59,0,0,0.23
0,2986,4,4,0,5,1,12,148,6,0,2,3,7,7669,10219,18,1,0,3,3,0.75,0.45,2,2,10,0.32,2,3,0.43
0,3053,0,0,0,2,2,1,201,9,0,1,2,7,23879,46223,15,0,0,2,3,0.52,0.63,0,0,0,0.44,0,0,0.29
1,3060,0,0,0,1,6,2,129,8,0,1,3,14,15335,26706,23,0,0,4,7,0.57,0.48,3,0,0,0.56,0,0,0.21
0,3097,0,0,0,2,1,0,95,3,1,4,5,13,36007,55804,15,1,0,5,7,0.65,0.61,0,1,1,0.57,1,1,0.38
1,3132,6,3,0,1,0,0,59,8,0,2,3,3,706,716,4,2,1,2,2,0.99,0.5,0,1,2,0.5,4,1,1
1,3190,2,2,0,8,1,9,96,3,1,1,1,1,698,630,3,2,2,1,1,1.11,0.4,0,2,2,0.2,3,2,1
0,3246,0,0,0,4,1,4,113,2,1,8,11,16,31457,48222,26,0,0,3,5,0.65,0.59,0,0,1,0.55,0,0,0.69
0,3390,5,4,0,2,1,4,117,7,0,2,5,4,15401,16445,17,1,0,1,2,0.94,0.3,1,2,5,0.2,6,2,1.25
0,3438,0,0,0,3,1,0,52,3,1,3,6,9,6576,7095,8,0,0,6,6,0.93,0.89,0,0,0,1,0,0,0.67
0,3637,0,0,0,0,15,1,304,4,0,1,4,9,25577,37193,19,0,0,4,5,0.69,0.55,0,0,0,0.45,0,0,0.44
0,3638,0,0,0,0,10,2,283,2,2,8,9,18,26800,69001,26,0,0,1,1,0.39,0.66,3,0,0,0.62,0,0,0.5
0,3700,7,5,0,3,1,3,27,26,0,0,0,1,6911,9670,1,1,1,0,1,0.71,0,2,1,2,0.5,4,2,0
0,3766,0,0,0,5,0,9,91,4,0,5,7,4,3490,3917,20,0,0,4,4,0.89,0.57,0,0,0,0.19,0,0,1.75
0,3813,0,0,0,0,,0,232,8,0,1,3,7,1891,4704,6,0,0,1,3,0.4,0.71,0,0,0,1,0,0,0.43
0,3881,5,0,0,2,1,1,121,8,0,1,1,5,17617,41278,8,0,0,2,3,0.43,0.4,0,0,4,0.5,0,0,0.2
0,3891,7,5,0,3,1,1,129,33,0,0,0,2,1699,1714,6,7,3,2,2,0.99,0.08,0,7,12,0.15,10,7,0
0,3944,0,0,0,1,4,7,334,4,0,1,4,5,15067,18627,8,4,3,3,3,0.81,0.2,3,4,6,0.33,4,5,0.8
0,3961,4,2,0,2,0,2,339,1,2,4,6,6,16719,20837,20,2,1,2,3,0.8,0.38,0,1,4,0.25,1,1,1
1,4032,2,2,0,2,0,4,248,7,0,3,7,14,30265,44493,28,0,0,7,9,0.68,0.63,2,0,1,0.47,2,1,0.5
0,4049,0,0,0,5,1,0,44,2,1,2,15,17,45865,85747,19,0,0,5,7,0.53,0.78,0,0,0,0.74,0,0,0.88
0,4071,6,0,0,2,0,1,210,30,0,0,0,7,4469,7879,11,0,0,2,3,0.57,0.75,0,0,0,0.58,0,0,0
0,4114,3,2,0,6,1,2,98,15,0,0,1,6,17344,42813,9,1,0,3,3,0.41,0.64,2,0,1,0.55,2,1,0.17
0,4207,0,0,0,3,1,4,22,3,1,2,3,3,11668,19507,2,1,0,1,2,0.6,0.5,0,0,0,0.75,0,0,1
0,4227,0,0,0,0,8,2,51,8,0,2,3,4,1180,2049,9,0,0,1,3,0.58,0.7,0,0,0,0.4,0,0,0.75
0,4284,0,0,0,2,0,1,115,2,2,3,11,8,24697,27934,24,0,0,4,5,0.88,0.59,2,0,1,0.28,0,1,1.38
0,4322,0,0,0,0,,0,225,4,0,2,3,14,33070,58204,22,0,0,4,4,0.57,0.83,0,0,0,0.61,0,0,0.21
0,4323,0,0,0,0,,0,372,10,0,1,2,17,69212,115197,26,0,0,4,7,0.6,0.67,0,0,0,0.63,0,0,0.12
1,4408,0,0,0,8,1,10,124,4,0,6,9,12,44329,47349,22,0,0,8,9,0.94,0.71,1,0,2,0.5,0,0,0.75
0,4426,9,5,0,0,11,0,98,53,0,0,0,1,0,0,3,2,0,0,0,0,0.2,0,0,2,0.2,4,0,0
0,4453,0,0,0,6,0,8,254,7,0,1,5,24,32214,109646,30,0,0,3,4,0.29,0.78,0,0,0,0.75,0,0,0.21
0,4458,0,0,0,2,3,2,230,3,1,4,5,19,28279,68717,27,0,0,2,7,0.41,0.63,2,0,1,0.63,0,1,0.26
1,4470,4,4,0,13,1,27,42,2,1,2,3,3,5066,6354,3,1,0,2,2,0.8,0.43,0,0,1,0.43,4,0,1
0,4506,0,0,0,3,1,1,104,3,1,3,10,9,19768,25494,13,0,0,4,8,0.78,0.75,0,0,1,0.56,0,0,1.11
0,4573,0,0,0,2,1,4,270,3,1,2,4,7,20200,27703,13,0,0,2,3,0.73,0.71,0,1,5,0.5,1,1,0.57
0,4599,0,0,0,0,,0,277,9,0,1,1,11,22916,41505,14,0,0,2,5,0.55,0.73,0,0,0,0.73,0,0,0.09
0,4693,2,1,0,7,2,1,226,5,0,1,4,6,11493,11987,13,1,1,3,4,0.96,0.27,3,1,2,0.4,3,2,0.67
0,4720,1,1,0,1,3,1,90,45,0,0,0,0,0,0,7,0,0,,,0,0.14,0,0,1,0,1,0,0
1,4734,1,0,0,4,1,2,93,20,0,0,2,19,40795,67014,24,2,2,7,7,0.61,0.52,3,4,6,0.66,4,5,0.11
0,4806,0,0,0,7,1,2,152,2,1,2,4,4,7049,7911,9,1,1,2,3,0.89,0.31,0,1,3,0.31,1,1,1
1,4860,0,0,0,3,0,2,446,9,0,2,9,26,65165,126906,33,0,0,5,7,0.51,0.78,3,0,0,0.7,0,0,0.35
1,5014,0,0,0,1,2,1,337,11,0,2,4,17,45492,44666,14,0,0,9,12,1.02,0.31,3,0,1,0.59,0,0,0.24
0,5056,3,1,0,5,1,4,246,2,1,1,1,2,149,149,3,2,0,1,1,1,0.14,2,0,4,0.29,1,1,0.5
0,5222,0,0,0,0,11,1,185,11,0,1,4,11,16167,69969,20,0,0,0,2,0.23,0.75,0,0,1,0.55,0,0,0.36
1,5261,1,1,0,1,1,0,134,3,1,3,7,16,35996,42432,18,0,0,9,11,0.85,0.38,3,0,0,0.62,0,0,0.44
0,5311,0,0,0,5,1,2,156,10,0,2,8,20,10641,55166,28,0,0,1,1,0.19,0.89,0,0,2,0.71,0,0,0.4
1,5430,5,3,0,4,1,11,89,3,1,3,6,7,13106,14161,14,0,0,4,5,0.93,0.38,2,1,2,0.44,6,2,0.86
0,5450,0,0,0,1,0,0,109,12,0,1,6,11,25817,51304,20,0,0,3,4,0.5,0.59,0,0,0,0.5,0,0,0.55
0,5483,0,0,0,1,1,2,280,17,0,0,2,18,68634,95766,33,0,0,6,8,0.72,0.73,0,0,1,0.55,0,0,0.11
0,5495,1,0,0,0,,0,251,5,0,2,3,6,50305,73498,11,4,3,3,4,0.68,0.53,0,3,7,0.4,3,3,0.5
1,5564,0,0,0,4,2,3,118,11,0,1,1,2,1087,1091,4,1,1,2,2,1,0.5,0,1,1,0.33,1,1,0.5
0,5621,0,0,0,2,0,2,231,4,0,1,1,1,851,890,6,0,0,1,1,0.96,0.29,0,0,2,0.14,0,0,1
0,5639,0,0,0,4,0,1,148,5,0,3,4,13,15456,18561,17,6,5,3,3,0.83,0.39,3,7,10,0.57,7,8,0.31
1,5641,0,0,0,10,1,3,87,3,1,2,4,11,16223,19849,13,0,0,4,7,0.82,0.6,2,0,1,0.73,0,1,0.36
0,5682,5,5,0,2,1,5,114,5,0,2,2,3,7852,9221,4,0,0,2,2,0.85,0.75,0,0,0,0.75,3,0,0.67
0,5723,0,0,0,1,1,2,162,5,0,1,3,6,23139,43352,9,0,0,3,3,0.53,0.64,0,0,1,0.55,0,0,0.5
0,5739,2,0,0,4,2,3,151,5,0,3,4,13,42981,52684,24,1,1,8,9,0.82,0.37,3,1,6,0.48,1,1,0.31
0,5749,0,0,0,4,1,11,258,5,0,4,7,6,14164,15874,23,0,0,4,4,0.89,0.5,0,0,1,0.25,0,0,1.17
0,5808,3,3,0,0,11,1,295,10,0,1,1,3,903,1004,5,1,1,1,1,0.9,0.33,2,1,2,0.5,3,2,0.33
1,5881,3,1,0,4,1,3,234,30,0,0,0,5,11288,21709,6,3,2,3,4,0.52,0.18,2,4,5,0.45,5,5,0
0,5893,2,0,0,2,2,5,165,10,0,1,5,10,4664,15497,17,0,0,0,2,0.3,0.57,3,0,3,0.48,1,0,0.5
0,5924,0,0,0,1,0,3,116,7,0,1,3,5,18696,21509,8,0,0,2,2,0.87,0.4,0,1,4,0.5,1,1,0.6
0,5971,0,0,0,2,4,1,121,13,0,0,4,7,26115,39464,19,2,0,3,4,0.66,0.38,3,0,7,0.33,0,0,0.57
0,5981,1,0,0,0,,0,228,77,0,0,0,1,509,2300,5,0,0,0,0,0.22,0.17,0,0,0,0.17,0,0,0
0,6088,3,3,0,6,1,2,63,8,0,2,4,6,20248,27636,11,0,0,3,3,0.73,0.67,0,0,0,0.5,1,0,0.67
0,6160,1,0,0,0,13,1,122,16,0,0,2,7,6929,24076,10,0,0,3,4,0.29,0.83,0,0,0,0.58,0,0,0.29
0,6204,1,0,0,0,9,1,193,56,0,0,0,1,0,0,1,1,1,,,0,0,1,1,2,0.2,1,1,0
0,6227,0,0,0,3,2,1,352,2,1,5,6,16,21883,56866,24,0,0,3,4,0.38,0.59,0,0,0,0.59,0,0,0.38
0,6234,0,0,0,3,1,1,237,4,0,2,3,7,30625,36417,5,1,1,5,6,0.84,0.44,1,1,1,0.78,1,1,0.43
0,6275,1,1,0,1,1,0,200,12,0,1,4,6,8821,9987,11,0,0,4,4,0.88,0.5,3,0,3,0.5,1,0,0.67
1,6359,5,5,0,0,8,0,118,4,0,6,7,8,17200,23793,11,3,1,5,6,0.72,0.69,0,2,4,0.5,4,2,0.88
0,6376,0,0,0,4,2,3,167,5,0,2,8,10,53343,59851,22,0,0,8,8,0.89,0.38,3,0,0,0.38,0,0,0.8
0,6380,0,0,0,1,1,2,124,2,1,2,4,10,8388,14898,23,3,1,3,4,0.56,0.34,1,1,7,0.34,1,1,0.4
0,6543,1,0,0,0,13,3,234,12,0,1,2,10,24517,41285,28,0,0,5,6,0.59,0.72,0,1,2,0.34,2,1,0.2
1,6574,0,0,0,1,1,0,74,35,0,0,0,4,4963,12283,4,3,2,2,2,0.4,0.14,2,4,7,0.57,4,5,0
0,6677,2,2,0,2,0,15,132,8,0,3,7,16,42597,72970,22,0,0,6,8,0.58,0.61,0,0,0,0.57,1,0,0.44
0,6754,0,0,0,6,1,9,94,15,0,0,5,6,418,21018,14,0,0,0,0,0.02,0.86,0,0,0,0.43,0,0,0.83
0,6783,1,1,0,0,14,1,6,6,0,1,1,1,1612,5000,1,0,0,0,0,0.32,1,0,0,0,1,0,0,1
0,6795,1,1,0,3,4,0,199,4,0,3,8,22,35116,48813,37,0,0,6,8,0.72,0.56,3,0,1,0.54,1,1,0.36
0,6819,0,0,0,1,2,0,119,8,0,5,8,18,43932,64819,30,0,0,8,10,0.68,0.67,0,0,1,0.55,0,0,0.44
0,6840,0,0,0,0,18,0,20,8,0,1,6,6,7062,11606,6,0,0,3,3,0.61,1,0,0,0,1,0,0,1
0,6843,0,0,0,2,1,2,256,5,0,2,5,18,46211,62197,31,0,0,7,8,0.74,0.67,0,0,2,0.55,0,0,0.28
0,6872,0,0,0,1,2,3,205,1,3,7,13,15,18956,30727,17,0,0,7,8,0.62,0.61,0,0,1,0.65,0,0,0.87
0,6902,0,0,0,0,7,1,147,7,0,3,12,11,8754,21073,19,1,0,1,1,0.42,0.78,0,0,1,0.48,0,0,1.09
0,6955,1,1,0,15,1,6,322,11,0,1,2,8,8059,33774,20,0,0,1,2,0.24,0.71,0,1,1,0.38,2,1,0.25
0,7006,0,0,0,0,,0,221,20,0,0,1,3,7462,8290,3,0,0,2,2,0.9,1,0,0,0,1,0,0,0.33
1,7140,3,2,0,0,11,0,90,9,0,1,3,3,4722,5462,8,2,1,2,2,0.86,0.17,2,2,4,0.25,3,3,1
0,7142,2,2,0,9,1,7,148,2,1,2,3,13,35712,43749,17,0,0,5,5,0.82,0.79,0,0,0,0.68,2,0,0.23
0,7155,1,0,0,0,22,1,152,4,0,1,2,1,24,49,8,1,1,0,0,0.49,0.6,0,1,6,0.1,1,1,2
0,7204,1,1,0,4,0,3,214,20,0,0,1,4,18547,21431,8,4,1,3,3,0.87,0.25,1,2,6,0.33,2,2,0.25
0,7214,0,0,0,0,18,1,241,17,0,0,2,5,2887,4011,9,0,0,3,3,0.72,0.33,2,1,3,0.56,1,2,0.4
1,7226,1,1,0,2,1,4,206,21,0,0,1,1,0,0,7,1,0,,,0,0.25,0,0,3,0.13,1,0,1
0,7232,0,0,0,2,1,7,158,4,0,7,7,13,21588,52007,23,0,0,2,2,0.42,0.62,0,0,0,0.5,0,0,0.54
1,7251,1,1,0,4,1,5,152,11,0,1,1,3,9584,10778,2,2,0,2,2,0.89,0.25,2,1,2,0.75,1,2,0.33
0,7260,0,0,0,4,0,2,303,35,0,0,0,4,0,5334,8,1,1,,,0,0.55,0,1,1,0.36,1,1,0
0,7278,0,0,0,1,0,0,246,4,0,2,3,13,9013,18852,20,0,0,4,4,0.48,0.54,1,1,2,0.54,1,1,0.23
0,7331,0,0,0,3,0,6,142,13,0,0,1,1,0,0,2,1,0,0,0,0,0.67,0,0,1,0.33,0,0,1
0,7342,0,0,0,0,,0,240,12,0,3,7,9,33724,55877,15,0,0,3,4,0.6,0.78,0,0,1,0.5,0,0,0.78
0,7410,0,0,0,5,1,8,218,4,0,2,4,9,22196,22874,18,0,0,7,7,0.97,0.74,0,0,0,0.47,0,0,0.44
1,7427,0,0,0,1,6,4,102,25,0,0,0,14,34506,37617,17,3,2,9,11,0.92,0.43,3,4,4,0.61,4,4,0
0,7583,2,0,0,4,1,3,180,12,0,1,2,12,33783,40285,16,0,0,6,7,0.84,0.74,0,0,1,0.63,0,0,0.17
0,7597,0,0,0,1,1,1,108,2,1,2,3,7,8342,42775,15,0,0,1,1,0.2,0.71,0,0,0,0.41,0,0,0.43
1,7664,0,0,0,3,0,1,90,16,0,0,2,3,1457,1501,3,2,0,1,3,0.97,0.43,0,0,2,0.43,0,0,0.67
1,7669,0,0,0,5,1,3,216,8,0,2,2,19,72107,82531,30,0,0,11,12,0.87,0.73,0,0,0,0.63,0,0,0.11
0,7681,0,0,0,0,9,0,143,5,0,2,4,9,15720,34135,24,0,0,3,3,0.46,0.5,1,0,0,0.35,0,0,0.44
0,7709,0,0,0,1,5,0,190,5,0,2,2,9,36227,63107,15,0,0,2,3,0.57,0.6,0,0,0,0.6,0,0,0.22
0,7742,0,0,0,1,0,1,223,18,0,0,1,9,30725,38640,14,0,0,5,6,0.8,0.71,0,0,0,0.64,0,0,0.11
0,7841,0,0,0,4,1,0,119,2,1,6,10,25,2280,156206,31,0,0,0,0,0.01,0.61,0,0,0,0.61,0,0,0.4
0,7961,1,1,0,0,24,0,213,9,0,1,3,7,12113,19557,18,0,0,1,1,0.62,0.53,0,0,0,0.37,0,0,0.43
0,7975,1,1,0,6,1,13,291,12,0,1,4,3,35714,56734,9,0,0,0,3,0.63,0.6,0,0,1,0.3,1,0,1.33
0,7998,5,1,0,0,22,1,130,22,0,0,1,2,0,0,5,3,1,0,0,0,0.25,0,1,4,0.25,1,1,0.5
0,8122,0,0,0,0,7,1,13,9,0,1,2,2,575,470,2,0,0,1,1,1.22,1,0,0,0,1,0,0,1
0,8168,0,0,0,1,2,0,471,12,0,1,1,11,35520,42258,14,0,0,6,6,0.84,0.71,0,0,0,0.65,0,0,0.09
1,8250,0,0,0,1,3,6,165,27,0,0,0,8,22310,27277,2,10,8,4,5,0.82,0.07,2,9,11,0.57,9,10,0
1,8256,1,1,0,2,1,1,138,6,0,1,5,10,16770,17258,18,0,0,7,8,0.97,0.39,3,0,2,0.56,1,1,0.5
0,8312,3,0,0,7,1,11,225,8,0,1,1,2,125,125,2,3,1,1,1,1,0.4,0,1,3,0.4,1,1,0.5
0,8366,1,1,0,2,1,1,188,7,0,1,1,7,8269,11012,7,3,2,2,2,0.75,0.4,0,5,5,0.7,5,5,0.14
0,8435,0,0,0,4,1,2,53,6,0,2,5,6,6903,9862,6,0,0,2,3,0.7,1,0,0,0,1,0,0,0.83
0,8573,1,0,0,5,1,7,132,2,1,3,5,9,44091,56088,12,0,0,2,3,0.79,0.64,0,0,0,0.64,0,0,0.56
0,8583,0,0,0,2,0,1,248,5,0,2,8,13,24558,59247,24,0,0,3,3,0.41,0.68,0,0,0,0.52,0,0,0.62
0,8599,0,0,0,0,,0,188,12,0,1,2,5,14809,18617,11,2,2,1,1,0.8,0.57,1,3,8,0.36,3,3,0.4
0,8609,1,1,0,1,1,2,175,2,1,4,5,13,25495,45958,32,0,0,5,7,0.55,0.32,2,0,1,0.35,1,1,0.38
0,8625,0,0,0,4,0,5,178,5,0,2,7,12,63070,94509,24,0,0,3,6,0.67,0.69,0,0,0,0.46,0,0,0.58
0,8636,1,1,0,4,1,5,203,14,0,0,3,3,13932,17075,9,0,0,1,2,0.82,0.78,0,0,1,0.33,0,0,1
0,8639,1,1,0,2,1,2,154,13,0,0,3,10,37006,53432,12,0,0,4,5,0.69,0.83,0,0,0,0.83,1,0,0.3
0,8946,1,1,0,0,,0,179,2,2,4,5,14,69344,123934,30,0,0,5,7,0.56,0.47,1,0,0,0.44,1,0,0.36
0,8956,0,0,0,0,10,0,177,31,0,0,0,5,6459,17366,8,1,1,1,1,0.37,0.67,0,1,1,0.56,1,1,0
